Ticker,Shares,Purchase Price per Share,Purchase Total Value,Mean Final Price per Share,Mean Total Value,5th Percentile Total Value (VaR),95th Percentile Price per Share
MELI.BA,2,18300,36600,16633.99623711214,33267.99247422428,7985.173293429243,41380.97497283611
TSLA.BA,1,26600,26600,46725.29480895513,46725.29480895513,12091.199412402499,113055.34605640975
AMZN.BA,2,1706,3412,3250.0543443752986,6500.108688750597,3111.2949334961313,5790.6667256501405
