Ticker,Shares,Purchase Price per Share,Purchase Total Value,Mean Final Price per Share,Mean Total Value,5th Percentile Total Value (VaR),95th Percentile Price per Share
MELI.BA,2,18300,36600,17943.50655217606,35887.01310435212,8552.885008342306,44922.97866449408
TSLA.BA,1,26600,26600,52118.69708891513,52118.69708891513,13534.21687937703,126700.31878093936
AMZN.BA,2,1706,3412,3375.0252130033396,6750.050426006679,3227.124129973759,6027.68604666334
