Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AMZN.BA,AMZN.BA,AMZN.BA,AMZN.BA,AMZN.BA,AMZN.BA
Date,,,,,,
2024-01-02 00:00:00+00:00,1031.5,1031.5,1040.0,995.0,1030.0,313097
2024-01-03 00:00:00+00:00,1084.0,1084.0,1087.0,1012.5,1031.5,424136
2024-01-04 00:00:00+00:00,1099.5,1099.5,1102.5,1050.0,1087.0,340364
2024-01-05 00:00:00+00:00,1153.0,1153.0,1161.5,1063.0,1139.0,343526
2024-01-08 00:00:00+00:00,1242.5,1242.5,1250.0,1144.0,1195.0,402802
2024-01-09 00:00:00+00:00,1263.0,1263.0,1278.0,1242.5,1255.0,555616
2024-01-10 00:00:00+00:00,1270.0,1270.0,1300.0,1255.0,1278.0,385485
2024-01-11 00:00:00+00:00,1260.0,1260.0,1295.0,1231.0,1295.0,344556
2024-01-12 00:00:00+00:00,1228.5,1228.5,1290.0,1201.5,1271.0,219560
2024-01-15 00:00:00+00:00,1260.0,1260.0,1285.0,1210.0,1220.0,143797
2024-01-16 00:00:00+00:00,1289.5,1289.5,1299.0,1231.0,1255.0,401676
2024-01-17 00:00:00+00:00,1338.5,1338.5,1362.5,1250.0,1295.0,272283
2024-01-18 00:00:00+00:00,1371.0,1371.0,1400.0,1340.0,1340.0,317482
2024-01-19 00:00:00+00:00,1406.0,1406.0,1416.0,1360.0,1398.0,348830
2024-01-22 00:00:00+00:00,1407.0,1407.0,1448.0,1395.0,1448.0,399946
2024-01-23 00:00:00+00:00,1393.5,1393.5,1438.0,1375.5,1410.0,346242
2024-01-24 00:00:00+00:00,1418.0,1418.0,1426.0,1390.0,1400.0,199040
2024-01-25 00:00:00+00:00,1392.0,1392.0,1449.0,1386.0,1406.0,215175
2024-01-26 00:00:00+00:00,1373.0,1373.0,1425.5,1355.0,1400.0,266388
2024-01-29 00:00:00+00:00,1415.5,1415.5,1431.0,1364.5,1373.5,341903
2024-01-30 00:00:00+00:00,1401.5,1401.5,1441.0,1382.5,1415.5,253372
2024-01-31 00:00:00+00:00,1358.5,1358.5,1407.0,1334.0,1405.5,265144
2024-02-01 00:00:00+00:00,1428.0,1428.0,1435.0,1350.0,1379.5,439941
2024-02-02 00:00:00+00:00,1540.5,1540.5,1559.0,1499.0,1499.0,667109
2024-02-05 00:00:00+00:00,1521.0,1521.0,1551.0,1498.0,1525.0,370665
2024-02-06 00:00:00+00:00,1468.0,1468.0,1524.5,1455.5,1503.0,326446
2024-02-07 00:00:00+00:00,1499.0,1499.0,1526.0,1457.5,1468.0,282487
2024-02-08 00:00:00+00:00,1478.5,1478.5,1524.0,1469.5,1510.0,341867
2024-02-09 00:00:00+00:00,1507.5,1507.5,1525.0,1430.0,1525.0,427370
2024-02-14 00:00:00+00:00,1392.5,1392.5,1507.5,1373.0,1507.5,688914
2024-02-15 00:00:00+00:00,1360.0,1360.0,1425.0,1352.5,1392.0,350413
2024-02-16 00:00:00+00:00,1305.5,1305.5,1381.5,1282.0,1360.0,357907
2024-02-19 00:00:00+00:00,1319.5,1319.5,1350.0,1265.0,1300.0,182618
2024-02-20 00:00:00+00:00,1308.0,1308.0,1368.0,1284.5,1325.0,454566
2024-02-21 00:00:00+00:00,1298.0,1298.0,1337.0,1294.5,1302.5,289507
2024-02-22 00:00:00+00:00,1323.5,1323.5,1354.5,1292.5,1320.5,268767
2024-02-23 00:00:00+00:00,1349.5,1349.5,1355.0,1265.0,1330.0,260804
2024-02-26 00:00:00+00:00,1330.5,1330.5,1378.0,1310.0,1349.5,164361
2024-02-27 00:00:00+00:00,1315.5,1315.5,1335.0,1308.0,1330.0,140589
2024-02-28 00:00:00+00:00,1284.5,1284.5,1326.0,1282.5,1301.0,303925
2024-02-29 00:00:00+00:00,1303.0,1303.0,1317.0,1255.0,1255.0,151061
2024-03-01 00:00:00+00:00,1352.5,1352.5,1364.0,1301.0,1303.0,204675
2024-03-04 00:00:00+00:00,1316.5,1316.5,1342.5,1305.5,1342.5,199762
2024-03-05 00:00:00+00:00,1257.0,1257.0,1316.5,1253.0,1316.5,186469
2024-03-06 00:00:00+00:00,1234.0,1234.0,1279.0,1212.0,1257.0,337159
2024-03-07 00:00:00+00:00,1266.5,1266.5,1280.0,1216.0,1216.0,208101
2024-03-08 00:00:00+00:00,1276.5,1276.5,1297.5,1244.0,1273.0,247878
2024-03-11 00:00:00+00:00,1221.0,1221.0,1275.0,1217.5,1275.0,213018
2024-03-12 00:00:00+00:00,1312.5,1312.5,1348.0,1221.0,1221.0,332616
2024-03-13 00:00:00+00:00,1293.5,1293.5,1345.0,1287.0,1320.5,246523
2024-03-14 00:00:00+00:00,1316.0,1316.0,1327.0,1289.0,1295.0,358234
2024-03-15 00:00:00+00:00,1303.0,1303.0,1308.0,1278.0,1300.0,145571
2024-03-18 00:00:00+00:00,1300.0,1300.0,1320.0,1292.5,1305.5,254961
2024-03-19 00:00:00+00:00,1322.0,1322.0,1330.0,1299.5,1304.0,200937
