Ticker,Shares,Purchase Price per Share,Purchase Total Value,Mean Final Price per Share,Mean Total Value,5th Percentile Total Value (VaR),95th Percentile Price per Share
MELI.BA,2,18300,36600,12031.575316536233,24063.150633072466,3888.812052795812,34411.154401869426
TSLA.BA,1,26600,26600,37347.23073808067,37347.23073808067,9860.761135685452,89865.57065462247
AMZN.BA,2,1706,3412,3013.5392157379756,6027.078431475951,2889.5978673237028,5359.511317262604
