Ticker,Shares,Purchase Price per Share,Purchase Total Value,Mean Final Price per Share,Mean Total Value,5th Percentile Total Value (VaR),95th Percentile Price per Share
MELI.BA,2,18300,36600,3680.612197962594,7361.224395925188,3216.033726993871,6900.493014105499
TSLA.BA,1,26600,26600,209.4417503617816,209.4417503617816,48.30530857582818,533.7399128706468
AMZN.BA,2,1706,3412,54.65713896134076,109.31427792268153,41.192587866270145,111.58808330724423
