Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TSLA.BA,TSLA.BA,TSLA.BA,TSLA.BA,TSLA.BA,TSLA.BA
Date,,,,,,
2024-01-02 00:00:00+00:00,16464.5,16464.5,16974.0,15600.0,16285.0,26393
2024-01-03 00:00:00+00:00,16740.5,16740.5,16793.5,15732.0,16400.0,48194
2024-01-04 00:00:00+00:00,17346.5,17346.5,17450.0,16500.0,16700.0,35528
2024-01-05 00:00:00+00:00,18081.0,18081.0,18150.0,16826.0,17500.0,32917
2024-01-08 00:00:00+00:00,19256.0,19256.0,19277.5,17510.0,18081.0,43949
2024-01-09 00:00:00+00:00,18732.5,18732.5,19699.0,18500.0,19215.0,40114
2024-01-10 00:00:00+00:00,18526.5,18526.5,19481.5,18330.0,19000.0,32629
2024-01-11 00:00:00+00:00,17530.0,17530.0,19255.0,17450.0,18525.0,40956
2024-01-12 00:00:00+00:00,16734.0,16734.0,17400.0,16375.0,17400.0,56114
2024-01-15 00:00:00+00:00,17213.0,17213.0,17300.0,16605.0,16734.0,15313
2024-01-16 00:00:00+00:00,17852.0,17852.0,17999.0,15900.0,17150.0,55743
2024-01-17 00:00:00+00:00,18221.0,18221.0,18387.0,17200.0,17900.0,56507
2024-01-18 00:00:00+00:00,18088.5,18088.5,18881.0,17880.0,18300.0,61678
2024-01-19 00:00:00+00:00,18486.0,18486.0,18510.0,17100.0,18088.5,49412
2024-01-22 00:00:00+00:00,18119.0,18119.0,19050.0,18035.0,18600.0,125704
2024-01-23 00:00:00+00:00,17860.0,17860.0,18924.0,17860.0,18150.0,45379
2024-01-24 00:00:00+00:00,18192.5,18192.5,18330.5,17860.0,18000.0,107417
2024-01-25 00:00:00+00:00,15624.0,15624.0,17283.0,15500.0,17283.0,305446
2024-01-26 00:00:00+00:00,15179.0,15179.0,16099.5,14987.5,15800.0,108194
2024-01-29 00:00:00+00:00,15928.0,15928.0,16089.0,15179.0,15250.0,76599
2024-01-30 00:00:00+00:00,16268.0,16268.0,16650.0,16000.0,16101.0,113636
2024-01-31 00:00:00+00:00,15938.5,15938.5,16057.0,15500.0,16057.0,41861
2024-02-01 00:00:00+00:00,16175.0,16175.0,16200.0,15438.0,15933.0,48079
2024-02-02 00:00:00+00:00,16100.0,16100.0,16409.5,15700.0,16150.5,90664
2024-02-05 00:00:00+00:00,15579.5,15579.5,16000.0,15112.5,15999.0,85930
2024-02-06 00:00:00+00:00,15413.5,15413.5,15790.0,15051.0,15100.0,54603
2024-02-07 00:00:00+00:00,15949.0,15949.0,16197.0,15433.5,15550.0,123287
2024-02-08 00:00:00+00:00,15798.5,15798.5,16150.0,15557.0,16000.0,100346
2024-02-09 00:00:00+00:00,15883.5,15883.5,16270.0,15800.0,15800.0,65652
2024-02-14 00:00:00+00:00,14703.5,14703.5,15516.5,14435.0,15516.5,81145
2024-02-15 00:00:00+00:00,15339.5,15339.5,15385.5,14750.0,14750.0,127602
2024-02-16 00:00:00+00:00,14854.0,14854.0,15848.5,14506.0,15600.0,78520
2024-02-19 00:00:00+00:00,15184.5,15184.5,15232.0,14200.0,15000.0,17699
2024-02-20 00:00:00+00:00,14493.5,14493.5,15349.5,14300.0,15199.0,91346
2024-02-21 00:00:00+00:00,14330.0,14330.0,14850.5,14221.0,14480.0,43186
2024-02-22 00:00:00+00:00,14349.5,14349.5,14700.0,14054.5,14500.0,43661
2024-02-23 00:00:00+00:00,14312.0,14312.0,14500.0,14042.5,14420.0,50911
2024-02-26 00:00:00+00:00,14606.0,14606.0,14847.5,14000.0,14300.0,63293
2024-02-27 00:00:00+00:00,14569.0,14569.0,15000.0,14453.0,14880.0,66724
2024-02-28 00:00:00+00:00,14462.0,14462.0,14899.5,14387.0,14800.0,55886
2024-02-29 00:00:00+00:00,14335.0,14335.0,14889.5,14209.0,14850.0,37271
2024-03-01 00:00:00+00:00,14698.0,14698.0,14900.0,14301.5,14335.0,68123
2024-03-04 00:00:00+00:00,13374.0,13374.0,14620.5,13185.0,14620.5,121934
2024-03-05 00:00:00+00:00,12517.5,12517.5,13200.0,12490.0,13200.0,42979
2024-03-06 00:00:00+00:00,12119.0,12119.0,12643.0,11900.0,12517.0,80226
